Your Area,Nearby Landmark,Increasing air pollution? ,Efficient water supply in their area?,Efficient drainage system in their area?,Proper roads?,Street lights?,Proper disposal of garbage?,Any other problem?
SECTOR-6,M VP COLONY,No,Yes,Yes,Yes,Yes,Yes,No
LAKSHMIPURAM,VEPAGUNTA,No,Yes,Maybe,No,Yes,Yes,"Mosquitoes,insects"
Sector 1,MVP DOUBLE ROAD,Maybe,No,Yes,Yes,Yes,Maybe,No
Kancharapalem ,Bapuji nagar ,Yes,Yes,Yes,No,Yes,Yes,No
Marriepalam ,Birla junction ,Yes,Yes,No,Yes,Yes,Yes,No
Sector-12 ,Ukkunagaram ,Maybe,No,Yes,Yes,Maybe,Yes,No
Kakinada ,"Srmt mall ,east 82Â°",Yes,No,Yes,No,No,No,No
Ravindra Nagar ,Ramalayam street ,Yes,No,No,Maybe,Yes,Yes,No
Old dairy farm ,Indira Gandhi nagar ,Maybe,No,Yes,No,Yes,No,No
Srikakulam ,Arasavalli ,No,No,No,Yes,Yes,Yes,No
23,Captain Ramarao junction ,Yes,Yes,No,No,No,Yes,No
maddila palem,near by oxygen tower,Yes,Yes,Yes,No,No,No,No
Maddilapalem ,Pedhanuyii,Maybe,No,No,No,Yes,Yes,No
Marripalem,Marripalem ,Maybe,No,No,Yes,Yes,Yes,No
PENDURTHI,BEHIND GOVT VETERNARY HOSPITAL,No,Yes,Yes,Yes,Yes,Yes,No
Akkayapalem,Akkayapalem,Maybe,Yes,No,Maybe,Yes,Yes,No
PEDAGANTYADA,GAJUWAKA,Yes,Yes,Yes,Yes,Yes,Yes,No
Madhurawada ,Bakkanapalem road,Maybe,Yes,No,Yes,Yes,Yes,No
Birla Junction,Birla junction,Maybe,No,Yes,No,Yes,Yes,No
Sector 12,KKR Gowtham school,Yes,Yes,Maybe,Yes,Yes,No,No
Sector 7,Dabagarndes,Yes,Yes,Yes,Yes,Yes,Yes,No
Lakshminagar,Gopalpatnam,Yes,Yes,Maybe,Yes,Yes,No,No
SECTOR-3,MVP COLONY ,Maybe,No,No,Yes,Yes,Maybe,No
SECTOR-5,MVP COLONY ,No,Yes,Yes,Yes,No,Yes,No
PM Palem,Cricket Stadium ,Maybe,No,Yes,Yes,Yes,No,No
Kothavasala,Raja Theatre ,Yes,Maybe,No,No,No,No,No
SECTOR-4,MVP COLONY ,Maybe,Yes,No,Yes,Yes,Yes,No
YENDADA,YENDADA JUNCTION,No,Yes,Yes,Yes,Yes,Yes,No
SECTOR-7,MVP COLONY ,Yes,No,No,No,No,No,Sound pollution 
530013,Maddilapalem,No,No,No,No,No,No,No
Allipuram,Allipuram Main Road,Yes,Yes,No,Maybe,Yes,No,No
Dabagarderns ,Near Allipuram ,Yes,No,No,Maybe,Yes,Yes,No
HPCL LAYOUT ,CRICKET STADIUM,No,Yes,Yes,Yes,Yes,No,No
K R M COLONY,KRISHNA COLLEGE,No,No,No,No,Yes,No,No
New gajuwaka,"Near rayathubazar, opposite petrol bunk",No,No,No,Yes,Yes,Yes,Network problem
Sivajipalem,Near saibaba temple,Maybe,Yes,Yes,No,Maybe,Maybe,No
PM PALEM,PM PALEM FIRST BUS STOP,Maybe,Maybe,Maybe,Yes,Maybe,Yes,No
VISALAKSHINAGAR,BVK HIGH SCHOOL,No,Yes,Yes,Yes,No,Yes,More Stray dogs
SECTOR-11,MVP COLONY ,Maybe,Yes,Yes,Yes,Yes,Yes,"Signal issues,stray dogs"
SECTOR-1,MVP COLONY ,No,Yes,Yes,Yes,Yes,Yes,No
